订单创建日期,销售订单号,行项目号,幅宽,订单件数,移库日期
2024/2/12,0021043965,10,1750,8.000,2024/2/19
2024/2/12,0021043965,20,1800,12.000,2024/2/21
2024/2/12,0021043965,30,1950,10.000,2024/2/21
2024/2/12,0021043965,40,2000,14.000,2024/2/21
2024/2/12,0021043965,50,2150,10.000,2024/2/21
2024/2/12,0021043965,60,2200,12.000,2024/2/21
2024/2/12,0021043965,70,2350,10.000,2024/2/21
2024/2/12,0021043965,80,2400,10.000,2024/2/21
2024/2/12,0021043965,90,2550,10.000,2024/2/21
2024/2/12,0021043965,100,1650,5.000,2024/2/21
2024/2/12,0021043965,110,1700,12.000,2024/2/21
2024/2/12,0021043965,120,1850,8.000,2024/2/21
2024/2/12,0021043965,130,1900,14.000,2024/2/21
2024/2/12,0021043965,140,2050,10.000,2024/2/21
2024/2/12,0021043965,150,2100,14.000,2024/2/21
2024/2/12,0021043965,160,2250,10.000,2024/2/21
2024/2/12,0021043965,170,2300,10.000,2024/2/21
2024/2/12,0021043965,180,2450,10.000,2024/2/21
2024/2/12,0021043965,190,2500,10.000,2024/2/21
2024/2/13,0021043996,10,2250,10.000,2024/2/13
2024/2/13,0021043998,10,1600,3.000,2024/2/21
2024/2/13,0021043998,20,1700,4.000,2024/2/21
2024/2/13,0021043998,30,2000,2.000,2024/2/16
2024/2/13,0021043998,40,2100,2.000,2024/2/16
2024/2/13,0021043998,50,2500,1.000,2024/2/16
2024/2/13,0021043998,60,1500,3.000,2024/2/16
2024/2/13,0021043998,70,1800,12.000,2024/2/21
2024/2/13,0021043998,80,1900,4.000,2024/2/16
2024/2/13,0021043998,90,2200,1.000,2024/2/14
2024/2/13,0021043998,100,2300,1.000,2024/2/14
2024/2/13,0021043999,10,1650,10.000,2024/2/21
2024/2/13,0021043999,20,1750,10.000,2024/2/21
2024/2/13,0021043999,30,1950,15.000,2024/2/19
2024/2/13,0021043999,40,2200,15.000,2024/2/17
2024/2/13,0021043999,50,2300,10.000,2024/2/21
2024/2/13,0021043999,60,2450,5.000,2024/2/21
2024/2/13,0021043999,70,2700,10.000,2024/2/21
2024/2/13,0021043999,80,2800,15.000,2024/2/21
2024/2/13,0021043999,90,1550,10.000,2024/2/21
2024/2/13,0021043999,100,1850,10.000,2024/2/21
2024/2/13,0021043999,110,2000,10.000,2024/2/21
2024/2/13,0021043999,120,2100,10.000,2024/2/21
2024/2/13,0021043999,130,2400,10.000,2024/2/21
2024/2/13,0021043999,140,2500,10.000,2024/2/21
2024/2/13,0021043999,150,2600,10.000,2024/2/21
2024/2/13,0021044004,10,1550,1.000,2024/2/22
2024/2/13,0021044004,20,1650,1.000,2024/2/22
2024/2/13,0021044004,30,1750,2.000,2024/2/22
2024/2/13,0021044004,40,1800,1.000,2024/2/22
2024/2/13,0021044004,50,1900,1.000,2024/2/22
2024/2/13,0021044004,60,1950,2.000,2024/2/22
2024/2/13,0021044004,70,2000,1.000,2024/2/22
2024/2/13,0021044004,80,2150,2.000,2024/2/22
2024/2/13,0021044004,90,2200,2.000,2024/2/22
2024/2/13,0021044004,100,2250,2.000,2024/2/22
2024/2/13,0021044004,110,2300,2.000,2024/2/22
2024/2/13,0021044004,120,2350,1.000,2024/2/22
2024/2/13,0021044004,130,2400,3.000,2024/2/22
2024/2/13,0021044004,140,1700,2.000,2024/2/22
2024/2/13,0021044004,150,1750,2.000,2024/2/22
2024/2/13,0021044004,160,1850,2.000,2024/2/22
2024/2/13,0021044004,170,1950,6.000,2024/2/22
2024/2/13,0021044004,180,2100,6.000,2024/2/22
2024/2/13,0021044004,190,2150,3.000,2024/2/22
2024/2/13,0021044004,200,2400,2.000,2024/2/22
2024/2/13,0021044004,210,2500,1.000,2024/2/22
2024/2/13,0021044012,10,1850,4.000,2024/2/13
2024/2/13,0021044012,20,1300,10.000,2024/2/13
2024/2/13,0021044012,30,1820,10.000,2024/2/13
2024/2/13,0021044014,10,1200,32.000,2024/2/15
2024/2/13,0021044014,20,1130,34.000,2024/2/15
2024/2/13,0021044018,10,1450,5.000,2024/2/22
2024/2/13,0021044018,20,1650,8.000,2024/2/22
2024/2/13,0021044018,30,1800,8.000,2024/2/22
2024/2/13,0021044018,40,1850,8.000,2024/2/22
2024/2/13,0021044018,50,2000,8.000,2024/2/22
2024/2/13,0021044018,60,2100,8.000,2024/2/22
2024/2/13,0021044018,70,2150,8.000,2024/2/22
2024/2/13,0021044018,80,2250,10.000,2024/2/22
2024/2/13,0021044018,90,2300,15.000,2024/2/22
2024/2/13,0021044018,100,2600,10.000,2024/2/22
2024/2/13,0021044018,110,2700,10.000,2024/2/22
2024/2/13,0021044018,120,1350,5.000,2024/2/22
2024/2/13,0021044018,130,1550,5.000,2024/2/22
2024/2/13,0021044018,140,1750,7.000,2024/2/22
2024/2/13,0021044018,150,1900,8.000,2024/2/22
2024/2/13,0021044018,160,1950,8.000,2024/2/22
2024/2/13,0021044018,170,2050,8.000,2024/2/22
2024/2/13,0021044018,180,2200,10.000,2024/2/22
2024/2/13,0021044018,190,2400,15.000,2024/2/22
2024/2/13,0021044018,200,2500,15.000,2024/2/22
2024/2/13,0021044018,210,2550,10.000,2024/2/22
2024/2/13,0021044018,220,2650,10.000,2024/2/22
2024/2/13,0021044018,230,2800,10.000,2024/2/22
2024/2/13,0021044019,10,1300,3.000,2024/2/21
2024/2/13,0021044019,20,1600,3.000,2024/2/22
2024/2/13,0021044019,30,1700,3.000,2024/2/17
2024/2/13,0021044019,40,2000,3.000,2024/2/22
2024/2/13,0021044019,50,2100,3.000,2024/2/17
2024/2/13,0021044019,60,2400,3.000,2024/2/17
2024/2/13,0021044019,70,2500,3.000,2024/2/17
2024/2/13,0021044019,80,1400,3.000,2024/2/17
2024/2/13,0021044019,90,1500,3.000,2024/2/21
2024/2/13,0021044019,100,1800,3.000,2024/2/14
2024/2/13,0021044019,110,1900,3.000,2024/2/22
2024/2/13,0021044019,120,2200,3.000,2024/2/21
2024/2/13,0021044019,130,2300,3.000,2024/2/22
2024/2/13,0021044024,10,800,4.000,2024/2/13
2024/2/13,0021044024,20,850,2.000,2024/2/13
2024/2/13,0021044024,30,900,10.000,2024/2/13
2024/2/13,0021044024,40,1000,2.000,2024/2/13
2024/2/13,0021044024,50,1050,2.000,2024/2/13
2024/2/13,0021044024,60,1100,2.000,2024/2/13
2024/2/13,0021044024,70,1200,3.000,2024/2/13
2024/2/13,0021044024,80,1300,3.000,2024/2/13
2024/2/13,0021044024,90,700,2.000,2024/2/13
2024/2/13,0021044024,100,750,3.000,2024/2/13
2024/2/13,0021044025,10,1400,18.000,2024/2/16
2024/2/13,0021044025,20,2000,1.000,2024/2/16
2024/2/13,0021044025,30,1800,6.000,2024/2/16
2024/2/13,0021044025,40,1600,4.000,2024/2/16
2024/2/13,0021044025,50,1500,3.000,2024/2/16
2024/2/13,0021044025,60,1900,1.000,2024/2/16
2024/2/13,0021044025,70,1700,6.000,2024/2/16
2024/2/13,0021044027,10,1300,2.000,2024/2/14
2024/2/13,0021044027,20,1400,10.000,2024/2/22
2024/2/13,0021044027,30,1500,4.000,2024/2/22
2024/2/13,0021044027,40,1600,5.000,2024/2/14
2024/2/13,0021044027,50,2100,7.000,2024/2/17
2024/2/13,0021044027,60,2300,7.000,2024/2/20
2024/2/13,0021044027,80,2000,3.000,2024/2/20
2024/2/13,0021044028,10,2100,1.000,2024/2/13
2024/2/13,0021044028,20,2300,1.000,2024/2/13
